text,sentiment,clean_text
So there is no way for me to plug it in here in the US unless I go by a converter.,negative,way plug us unless go converter
"Good case, Excellent value.",positive,good case excellent value
Great for the jawbone.,positive,great jawbone
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,negative,tied charger conversations lasting minutesmajor problems
The mic is great.,positive,mic great
I have to jiggle the plug to get it to line up right to get decent volume.,negative,jiggle plug get line right get decent volume
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",negative,several dozen several hundred contacts imagine fun sending one one
If you are Razr owner...you must have this!,positive,razr owneryou must
"Needless to say, I wasted my money.",negative,needless say wasted money
What a waste of money and time!.,negative,waste money time
And the sound quality is great.,positive,sound quality great
He was very impressed when going from the original battery to the extended battery.,positive,impressed going original battery extended battery
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,negative,two seperated mere ft started notice excessive static garbled sound headset
Very good quality though,positive,good quality though
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",negative,design odd ear clip comfortable
Highly recommend for any one who has a blue tooth phone.,positive,highly recommend one blue tooth phone
I advise EVERYONE DO NOT BE FOOLED!,negative,advise everyone fooled
So Far So Good!.,positive,far good
Works great!.,positive,works great
It clicks into place in a way that makes you wonder how long that mechanism would last.,negative,clicks place way makes wonder long mechanism would last
"I went on Motorola's website and followed all directions, but could not get it to pair again.",negative,went motorolas website followed directions could get pair
I bought this to use with my Kindle Fire and absolutely loved it!,positive,bought use kindle fire absolutely loved
The commercials are the most misleading.,negative,commercials misleading
I have yet to run this new battery below two bars and that's three days without charging.,positive,yet run new battery two bars thats three days without charging
I bought it for my mother and she had a problem with the battery.,negative,bought mother problem battery
Great Pocket PC / phone combination.,positive,great pocket pc phone combination
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,positive,ive owned phone months say best mobile phone ive
I didn't think that the instructions provided were helpful to me.,negative,didnt think instructions provided helpful
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,negative,people couldnt hear talk pull earphone talk phone
Doesn't hold charge.,negative,doesnt hold charge
"This is a simple little phone to use, but the breakage is unacceptible.",negative,simple little phone use breakage unacceptible
This product is ideal for people like me whose ears are very sensitive.,positive,product ideal people like whose ears sensitive
It is unusable in a moving car at freeway speed.,negative,unusable moving car freeway speed
I have two more years left in this contract and I hate this phone.,negative,two years left contract hate phone
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,positive,car charger well ac charger included make sure never run juicehighy recommended
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,negative,need least mins get phone book time first turn phonebattery life short
It has kept up very well.,positive,kept well
Poor Talk Time Performance.,negative,poor talk time performance
The case is great and works fine with the 680.,positive,case great works fine
worthless product.,negative,worthless product
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",positive,great camera thats mp pics nice clear great picture quality
I was not impressed by this product.,negative,impressed product
Nice headset priced right.,positive,nice headset priced right
I only hear garbage for audio.,negative,hear garbage audio
Excellent bluetooth headset.,positive,excellent bluetooth headset
It has all the features I want,positive,features want
Who in their right mind is gonna buy this battery?.,negative,right mind gonna buy battery
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,negative,arguing verizon regarding dropped calls returned phones two days
This case seems well made.,positive,case seems well made
Disappointed with battery.,negative,disappointed battery
Not loud enough and doesn't turn on like it should.,negative,loud enough doesnt turn like
good protection and does not make phone too bulky.,positive,good protection make phone bulky
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,positive,usable keyboard actually turns pda realworld useful machine instead neat gadget
This phone is pretty sturdy and I've never had any large problems with it.,positive,phone pretty sturdy ive never large problems
I love this thing!,positive,love thing
Everything about it is fine and reasonable for the price i.e.,positive,everything fine reasonable price ie
VERY DISAPPOINTED.,negative,disappointed
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,positive,even dropped phone stream submerged seconds still works great
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,positive,happy complaints one regarding sound quality end
The buttons for on and off are bad.,negative,buttons bad
Essentially you can forget Microsoft's tech support.,negative,essentially forget microsofts tech support
"I really recommend this faceplates since it looks very nice, elegant and cool.",positive,really recommend faceplates since looks nice elegant cool
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,positive,headphones great find think perhaps best purchase ive made last several years seriously
Buy a different phone - but not this.,negative,buy different phone
You have to hold the phone at a particular angle for the other party to hear you clearly.,negative,hold phone particular angle party hear clearly
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,negative,one big drawback mp player buttons phones front cover let pause skip songs lock seconds
"A week later after I activated it, it suddenly died.",negative,week later activated suddenly died
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,positive,feels comfortable headsets wear glasses gets way sometimes
Great for iPODs too.,positive,great ipods
